"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","Pairwise List","",NA,"Chemokine Pairs","","","","","","","","",""
"2","CCL2","CCR2",NA,"Ligands","Receptors","","","","","","","",""
"3","CCL11","CCR2",NA,"CCL2","CCR2","","","","","","","",""
"4","CCL11","CCR3",NA,"CCL11","CCR2","","","CCR3","","","","",""
"5","CCL13","CCR2",NA,"CCL13","CCR2","","CCR1","CCR3","","","","",""
"6","CCL13","CCR1",NA,"CCL7","CCR2","","CCR1","CCR3","","","","",""
"7","CCL13","CCR3",NA,"CCL8","CCR2","CCR5","CCR1","CCR3","","","","",""
"8","CCL7","CCR2",NA,"CCL16","CCR2","CCR5","CCR1","","","","","",""
"9","CCL7","CCR1",NA,"CCL3","","CCR5","CCR1","","","","","",""
"10","CCL7","CCR3",NA,"CCL3L1","","CCR5","CCR1","CCR3","","","","",""
"11","CCL8","CCR2",NA,"CCL4","","CCR5","","","","","","",""
"12","CCL8","CCR5",NA,"CCL5","","CCR5","CCR1","CCR3","","","","",""
"13","CCL8","CCR1",NA,"CCL14","","CCR5","CCR1","CCR3","","","","",""
"14","CCL8","CCR3",NA,"CCL15","","","CCR1","CCR3","","","","",""
"15","CCL16","CCR2",NA,"CCL23","","","CCR1","","","","","",""
"16","CCL16","CCR5",NA,"CCL24","","","","CCR3","","","","",""
"17","CCL16","CCR1",NA,"CCL26","","","","CCR3","","","CX3CR1","",""
"18","CCL3","CCR5",NA,"CCL28","","","","CCR3","","CCR10","","",""
"19","CCL3","CCR1",NA,"CCL17","","","","","CCR4","","","",""
"20","CCL3L1","CCR5",NA,"CCL22","","","","","CCR4","","","",""
"21","CCL3L1","CCR1",NA,"CCL20","","","","","CCR6","","","",""
"22","CCL3L1","CCR3",NA,"CCL19","","","","","CCR7","","","CCRL1","CCRL2"
"23","CCL4","CCR5",NA,"CCL21","","","","","CCR7","","","",""
"24","CCL5","CCR5",NA,"CCL1","","","","","CCR8","","","",""
"25","CCL5","CCR1",NA,"CCL25","","","","","CCR9","","","CCRL1",""
"26","CCL5","CCR3",NA,"CCL27","","","","","","CCR10","","",""
"27","CCL14","CCR5",NA,"CCL18 (orphan)","","","","","","","","",""
"28","CCL14","CCR1",NA,"XCL1","","","","","XCR1","","","",""
"29","CCL14","CCR3",NA,"XCL2","","","","","XCR1","","","",""
"30","CCL15","CCR1",NA,"CX3CL1","","","","","","","CX3CR1","CCRL1",""
"31","CCL15","CCR3",NA,"CXCL13","","","","","","","","",""
"32","CCL23","CCR1",NA,"CXCL6","CXCR1","CXCR2","","","","","","",""
"33","CCL24","CCR3",NA,"CXCL8","CXCR1","CXCR2","","","","","","",""
"34","CCL26","CCR3",NA,"CXCL1","","CXCR2","","","","","","",""
"35","CCL26","CX3CR1",NA,"CXCL2","","CXCR2","","","","","","",""
"36","CCL28","CCR3",NA,"CXCL3","","CXCR2","","","","","","",""
"37","CCL28","CCR10",NA,"CXCL5","","CXCR2","","","","","","",""
"38","CCL17","CCR4",NA,"CXCL7","","CXCR2","","","","","","",""
"39","CCL22","CCR4",NA,"CXCL9","","","CXCR3","","","","","",""
"40","CCL20","CCR6",NA,"CXCL10","","","CXCR3","","","","","",""
"41","CCL19","CCR7",NA,"CXCL11","","","CXCR3","CXCR7","","","","",""
"42","CCL19","CCRL1",NA,"CXCL4","","","CXCR3","","","","","",""
"43","CCL19","CCRL2",NA,"CXCL4L1","","","CXCR3","","","","","",""
"44","CCL21","CCR7",NA,"CXCL12","","","","CXCR7","CXCR4","","","",""
"45","CCL1","CCR8",NA,"CXCL13","","","","","CXCR5","","","",""
"46","CCL25","CCR9",NA,"CXCL16","","","","","CXCR6","","","",""
"47","CCL25","CCRL1",NA,"CXCL14 (orphan)","","","","","","","","",""
"48","CCL27","CCR10",NA,"CXCL17 (orphan)","","","","","","","","",""
"49","XCL1","XCR1",NA,"","","","","","","","","",""
"50","XCL2","XCR1",NA,"","","","","","","","","",""
"51","CX3CL1","CX3CR1",NA,"","","","","","","","","",""
"52","CX3CL1","CCRL1",NA,"","","","","","","","","",""
"53","CXCL13","CXCR5",NA,"","","","","","","","","",""
"54","CXCL6","CXCR1",NA,"","","","","","","","","",""
"55","CXCL6","CXCR2",NA,"","","","","","","","","",""
"56","CXCL8","CXCR1",NA,"","","","","","","","","",""
"57","CXCL8","CXCR2",NA,"","","","","","","","","",""
"58","CXCL1","CXCR2",NA,"","","","","","","","","",""
"59","CXCL2","CXCR2",NA,"","","","","","","","","",""
"60","CXCL3","CXCR2",NA,"","","","","","","","","",""
"61","CXCL5","CXCR2",NA,"","","","","","","","","",""
"62","CXCL7","CXCR2",NA,"","","","","","","","","",""
"63","CXCL9","CXCR3",NA,"","","","","","","","","",""
"64","CXCL10","CXCR3",NA,"","","","","","","","","",""
"65","CXCL11","CXCR3",NA,"","","","","","","","","",""
"66","CXCL11","CXCR7",NA,"","","","","","","","","",""
"67","CXCL4","CXCR3",NA,"","","","","","","","","",""
"68","CXCL4L1","CXCR3",NA,"","","","","","","","","",""
"69","CXCL12","CXCR7",NA,"","","","","","","","","",""
"70","CXCL12","CXCR4",NA,"","","","","","","","","",""
"71","CXCL13","CXCR5",NA,"","","","","","","","","",""
"72","CXCL16","CXCR6",NA,"","","","","","","","","",""
