rec,lig,act_type,lig_nt,lig_ct,potency_ranks,citation,pAct
hNMBR,hGRPx41x50,,,NH2,,,
hSSR2,hCORTx89x105,Full agonist,,,,,
hPRLHR,hPTHRx37x177,Full agonist,,,PrRP-20 = PrRP-31,,
hCCR3,hCCL11x24x97,Full agonist,,,,,
hCXCR3,hCCL5x24x91,Full agonist,,,,,6.4
hGLP1R,hGLUCx53x81,Full agonist,,,,,
hCCKAR,hGASTx76x92,,,NH2,"CCK-8, CCK-58, CCK-39, CCK-33 >> gastrin-17, desulfated cholecystokinin-8 > CCK-4",,
hCCR6,hDFB4Ax24x64,Full agonist,,,,,
hCCR1,hA0A8I5JUL6x22x113,,,,,,
hCXCR2,hCXCL7x55x128,Full agonist,,,,,
hC5AR2,hCO5x678x751,Full agonist,,,,,8.85
hMC5R,hCOLIx138x150,Full agonist,acet,NH2,&alpha;-MSH > &beta;-MSH > ACTH > &gamma;-MSH,,6.9
hNPFF1,hPRRPx23x53,,,NH2,"RFRP-1 > RFRP-3 > FMRFneuropeptide FF > neuropeptide AF > neuropeptide SF, QRFP43 (43RFa), PrRP-31",,
hCCR4,hCCL17x24x94,Full agonist,,,,,8.7
hACKR1,hCCL5x24x91,,,,"CXCL5, CXCL6, CXCL8, CXCL11, CCL2, CCL5, CCL7, CCL11, CCL14, CCL17",,
hGASR,hCCKNx65x103,,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hKISSR,hKISS1x109x121,Full agonist,,NH2,,,8.4
hQRFPR,hOX26x108x133,Full agonist,,NH2,,,8.15
hV1BR,hNEU1x20x28,Full agonist,,NH2,vasopressin > oxytocin,,
hPTH1R,hPTHRx37x72,Full agonist,,,PTH = PTHrP,,6.5
hVIPR2,hVIPx125x152,Agonist,,NH2,"VIP, PACAP-38, PACAP-27 > PHI (pig) >> GHRH, secretin",,8.3|9.2|7.9|9.3|7.8|8.8|8|7.3|8.5|7.7|8.7
hPACR,hVIPx125x152,Agonist,,NH2,"PACAP-27, PACAP-38 >> VIP",,6|8.4|6.7|6.4|6.3|7.8|8.7
hAPJ,hELAx44x54,Agonist,,,[Pyr<sup>1</sup>]apelin-13 &ge; apelin-13 > apelin-36,,7.2
hACKR3,hSDF1x22x89,Agonist,,,,,
hNPFF2,hOX26x91x133,,,NH2,"neuropeptide AF, neuropeptide FF > PrRP-31 > FMRF, QRFP43 (43RFa) > neuropeptide SF",,
hCALCR,hCALCx85x116,Full agonist,,NH2,"calcitonin &ge; amylin, &alpha;-CGRP, &beta;-CGRP > adrenomedullin, adrenomedullin 2/intermedin",,11.4
hCCRL2,hCCL19x22x98,Unknown,,,"chemerin C-terminal peptide, CCL19",,7.36
hOPRX,hPNOCx130x146,Full agonist|Agonist,,,nociceptin/orphanin FQ,,
hGLR,hGLUCx53x81,Full agonist,,,,,9
hACKR2,hCCL11x24x97,,,,"CCL2, CCL3, CCL4, CCL5, CCL7, CCL8, CCL11, CCL13, CCL14, CCL17, CCL22",,
hFZD2,hWNT5Ax62x380,,,,,,
hFZD6,hWNT4x23x351,Agonist,,,,,
hCCR5,hCCL8x24x99,Full agonist,,,,,9.3
hMSHR,hCOLIx217x234,,,,"&alpha;-MSH > &beta;-MSH > ACTH, &gamma;-MSH",,
hCCR1,hCCL13x17x98,Agonist,,,,,
hBKRB2,hKNG1x381x389,Full agonist,,,"kallidin > bradykinin >> [des-Arg<sup>9</sup>]bradykinin, [des-Arg<sup>10</sup>]kallidin",,
hCCR2,hCCL26x24x94,Antagonist,,,,,8.5
hGNRHR,hGON2x24x33,Full agonist,,NH2,GnRH I > GnRH II,,
hFPR3,hANXA1x2x26,Full agonist,acet,,,,
hSSR3,hCORTx89x105,Full agonist,,,,,
hGASR,hGASTx22x92,Agonist,,NH2,"CCK-8, CCK-39, CCK-33, CCK-58 &ge; gastrin-17, desulfated cholecystokinin-8, CCK-4",,
hCXCR3,hCXL10x22x98,Full agonist,,,,,
hPACR,hVIPx81x122,,,,"PACAP-27, PACAP-38 >> VIP",,
hFPR1,hANXA1x1x346,,,,fMet-Leu-Phe > cathepsin G > annexin I,,
hGHRHR,hSLIBx32x75,Agonist,,NH2,,,
hKISSR,hKISS1x108x121,Full agonist,,NH2,,,8.8
hCCR3,hCXCL9x23x125,Antagonist,,,,,
hCCR5,hCCL13x17x98,Full agonist,,,,,9.1
hOPRM,hCOLIx237x267,,,,"Several additional extended enkephalin peptides or truncated beta-endorphin peptides.|endomorphin-1, endomorphin-2|&beta;-endorphin, [Met]enkephalin, [Leu]enkephalin",,
hRL3R2,hREL3x26x52,Partial agonist,,,INSL5 = relaxin-3 > relaxin-3 (B chain),,7
hRL3R1,hREL3x26x52,Full agonist,,,relaxin-3 > relaxin-3 (B chain) > relaxin,,6.9
hCXCR2,hCXCL2x35x107,Full agonist,,,,,
hCCR8,hCCL8x24x99,Agonist,,,,,
hVIPR1,hSLIBx32x75,Agonist,,NH2,"VIP, PACAP-27, PACAP-38 >> GHRH, PHI (pig), secretin",,6.2
hMC3R,hCOLIx138x176,Agonist,acet,,"&gamma;-MSH, &beta;-MSH > ACTH, &alpha;-MSH",,7.06
