Gene_human,Order of runs (priority),Exclude due to N term >160AA,Prioritization Notes,Class or type
HTR1A,#6,,Small organic molecule,HT
HTR1B,#6,,Small organic molecule,HT
HTR1D,#6,,Small organic molecule,HT
HTR1E,#6,,Small organic molecule,HT
HTR1F,#6,,Small organic molecule,HT
HTR2A,#6,,Small organic molecule,HT
HTR2B,#6,,Small organic molecule,HT
HTR2C,#6,,Small organic molecule,HT
HTR4,#6,,Small organic molecule,HT
HTR5A,#6,,Small organic molecule,HT
HTR6,#6,,Small organic molecule,HT
HTR7,#6,,Small organic molecule,HT
ADORA1,#6,,Small organic molecule,ADORA
ADORA2A,#6,,Small organic molecule,ADORA
ADORA2B,#6,,Small organic molecule,ADORA
ADORA3,#6,,Small organic molecule,ADORA
ADGRA1,#2,,#2,Adhesion R
ADGRA2,Exclude,,Exclude,Adhesion R
ADGRA3,Exclude,,Exclude,Adhesion R
ADGRB1,Exclude,,Exclude,Adhesion R
ADGRB2,Exclude,,Exclude,Adhesion R
ADGRB3,Exclude,,Exclude,Adhesion R
CELSR1,Exclude,,Exclude,Adhesion R
CELSR2,Exclude,,Exclude,Adhesion R
CELSR3,Exclude,,Exclude,Adhesion R
ADGRD1,Exclude,,Exclude,Adhesion R
ADGRD2,Exclude,,Exclude,Adhesion R
ADGRE1,Exclude,,Exclude,Adhesion R
ADGRE2,Exclude,,Exclude,Adhesion R
ADGRE3,Exclude,,Exclude,Adhesion R
ADGRE4P,Exclude,,Exclude,Adhesion R
ADGRE5,Exclude,,Exclude,Adhesion R
ADGRF1,Exclude,,Exclude,Adhesion R
ADGRF3,Exclude,,Exclude,Adhesion R
ADGRF4,Exclude,,Exclude,Adhesion R
ADGRF5,Exclude,,Exclude,Adhesion R
ADGRG1,Exclude,,Exclude,Adhesion R
ADGRG2,Exclude,,Exclude,Adhesion R
ADGRG3,Exclude,,Exclude,Adhesion R
ADGRG4,Exclude,,Exclude,Adhesion R
ADGRG5,Exclude,,Exclude,Adhesion R
ADGRG6,Exclude,,Exclude,Adhesion R
ADGRG7,Exclude,,Exclude,Adhesion R
ADGRL1,Exclude,,Exclude,Adhesion R
ADGRL2,Exclude,,Exclude,Adhesion R
ADGRL3,Exclude,,Exclude,Adhesion R
ADGRL4,Exclude,,Exclude,Adhesion R
ADGRV1,Exclude,,Exclude,Adhesion R
ADRA1A,#6,,Small organic molecule,Adrenergic
ADRA1B,#6,,Small organic molecule,Adrenergic
ADRA1D,#6,,Small organic molecule,Adrenergic
ADRA2A,#6,,Small organic molecule,Adrenergic
ADRA2B,#6,,Small organic molecule,Adrenergic
ADRA2C,#6,,Small organic molecule,Adrenergic
ADRB1,#6,,Small organic molecule,Adrenergic
ADRB2,#6,,Small organic molecule,Adrenergic
ADRB3,#6,,Small organic molecule,Adrenergic
AGTR1,#1,,#1,Angiotensin
AGTR2,#1,,#1,Angiotensin
AVPR1A,#2,,#2,
AVPR1B,#2,,#2,
AVPR2,#2,,#2,
OXTR,#2,,#2,
ACKR1,#2,,#2,Atypical chemokine R
ACKR2,#2,,#2,Atypical chemokine R
ACKR3,#2,,#2,Atypical chemokine R
ACKR4,#2,,#2,Atypical chemokine R
CCRL2,#2,,#2,Atypical chemokine R
BDKRB1,#1,,#1,Bradykinin R
BDKRB2,#1,,#1,Bradykinin R
CCR1,#2,,#2,Chemokine R
CCR10,#2,,#2,Chemokine R
CCR2,#2,,#2,Chemokine R
CCR3,#2,,#2,Chemokine R
CCR4,#2,,#2,Chemokine R
CCR5,#2,,#2,Chemokine R
CCR6,#2,,#2,Chemokine R
CCR7,#2,,#2,Chemokine R
CCR8,#2,,#2,Chemokine R
CCR9,#2,,#2,Chemokine R
CX3CR1,#2,,#2,Chemokine R
CXCR1,#2,,#2,Chemokine R
CXCR2,#2,,#2,Chemokine R
CXCR3,#2,,#2,Chemokine R
CXCR4,#2,,#2,Chemokine R
CXCR5,#2,,#2,Chemokine R
CXCR6,#2,,#2,Chemokine R
CALCR,#2,,#2,CALCR
CALCRL,#2,,#2,CALCR
CASR,#6,Exclude due to N term >160AA,Class C,Class C calcium sensing
GPRC6A,#6,Exclude due to N term >160AA,Class C,Class C (Glutamate like orphan)
CNR1,#6,,Small organic molecule,
CNR2,#6,,Small organic molecule,
CMKLR1,#1,,#1,CLCR
CMKLR2,#1,,#1,CLCR
CCKAR,#2,,#2,Cholecyst R
CCKBR,#2,,#2,Cholecyst R
CHRM1,#6,,Small organic molecule,Muscarinic
CHRM2,#6,,Small organic molecule,Muscarinic
CHRM3,#6,,Small organic molecule,Muscarinic
CHRM4,#6,,Small organic molecule,Muscarinic
CHRM5,#6,,Small organic molecule,Muscarinic
C3AR1,#2,,#2,Complement
C5AR1,#2,,#2,Complement
C5AR2,#2,,#2,Complement
CRHR1,#2,,#2,Corticotropin/urocortin R
CRHR2,#2,,#2,Corticotropin/urocortin R
DRD1,#6,,Small organic molecule,Dopamine R
DRD2,#6,,Small organic molecule,Dopamine R
DRD3,#6,,Small organic molecule,Dopamine R
DRD4,#6,,Small organic molecule,Dopamine R
DRD5,#6,,Small organic molecule,Dopamine R
EDNRA,#2,,#2,Endothelin
EDNRB,#2,,#2,Endothelin
F2R,#2,,#2,PAR
F2RL1,#2,,#2,PAR
F2RL2,#2,,#2,PAR
F2RL3,#2,,#2,PAR
FPR1,#2,,#2,FPR
FPR2,#2,,#2,FPR
FPR3,#2,,#2,FPR
FFAR1,#6,,Fatty acid,FFAR
FFAR2,#6,,Fatty acid,FFAR
FFAR3,#6,,Fatty acid,FFAR
FFAR4,#6,,Fatty acid,FFAR
GPBAR1,#2,,#2,
GPER1,#2,,#2,
GPR101,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR119,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR12,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR132,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR135,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR139,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR141,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR142,#3 GPR orphan,,#3 GPR orphan,GPR orphan
GPR146,#3 GPR orphan,,#3 GPR orphan,GPR orphan
