name,freq,score
Acrosome,11,-1
"Acrosome,Annulus",1,-1
"Acrosome,Equatorial segment",11,-1
"Acrosome,Equatorial segment,Mid piece",1,-1
"Acrosome,Equatorial segment,Mid piece,Principal piece,End piece",3,-1
"Acrosome,Equatorial segment,Principal piece",2,-1
"Acrosome,Mid piece",2,-1
"Acrosome,Mid piece,Principal piece,Annulus",1,-1
"Acrosome,Principal piece",1,-1
"Acrosome,Principal piece,End piece",1,-1
Actin filaments,24,-1
"Actin filaments,Centriolar satellite",1,-1
"Actin filaments,Centrosome",2,-1
"Actin filaments,Cytokinetic bridge,Midbody,Primary cilium",1,-1
"Actin filaments,Cytosol",24,-1
"Actin filaments,Focal adhesion sites",5,-1
"Actin filaments,Focal adhesion sites,Cytosol",2,-1
"Actin filaments,Focal adhesion sites,Primary cilium,Primary cilium transition zone,Cytosol",3,-1
"Actin filaments,Microtubules",2,-1
"Actin filaments,Microtubules,Annulus",1,-1
"Actin filaments,Microtubules,Cytokinetic bridge,Primary cilium",1,-1
"Actin filaments,Mitochondria",1,-1
"Actin filaments,Mitochondria,Cytosol",1,-1
"Actin filaments,Primary cilium",2,-1
"Actin filaments,Primary cilium,Cytosol,Mid piece,Principal piece,Annulus",1,-1
"Actin filaments,Primary cilium,Principal piece",1,-1
"Aggresome,Cytosol",4,-1
Annulus,1,-1
Basal body,2,-1
"Basal body,Cytosol",6,-1
Calyx,3,-1
"Calyx,Connecting piece,Mid piece",1,-1
"Calyx,Connecting piece,Mid piece,Principal piece,End piece,Annulus",1,-1
"Calyx,Mid piece",1,-1
"Calyx,Mid piece,Principal piece,End piece",1,-1
"Calyx,Principal piece",1,-1
Cell Junctions,47,0
"Cell Junctions,Aggresome",1,-1
"Cell Junctions,Centriolar satellite,Cytosol",2,-1
"Cell Junctions,Centrosome",1,-1
"Cell Junctions,Centrosome,Basal body",1,-1
"Cell Junctions,Centrosome,Basal body,Cytosol,Equatorial segment,Mid piece,Principal piece",1,-1
"Cell Junctions,Cytosol",16,-1
"Cell Junctions,Microtubules",1,-1
"Cell Junctions,Mitochondria",3,-1
Centriolar satellite,24,-2
"Centriolar satellite,Basal body",2,-2
"Centriolar satellite,Centrosome,Basal body",5,-2
"Centriolar satellite,Centrosome,Basal body,Acrosome,Equatorial segment,Principal piece",1,-2
"Centriolar satellite,Centrosome,Basal body,Cytosol",2,-2
"Centriolar satellite,Centrosome,Cytosol",1,-2
"Centriolar satellite,Centrosome,Cytosol,Flagellar centriole,Mid piece",1,-2
"Centriolar satellite,Cytosol",27,-2
"Centriolar satellite,Cytosol,End piece",1,-2
"Centriolar satellite,Mitochondria,Cytosol,Connecting piece,Mid piece,Principal piece",1,-2
"Centriolar satellite,Principal piece",1,-2
"Centriolar satellite,Rods & Rings",1,-2
Centrosome,52,-2
"Centrosome,Acrosome",1,-2
"Centrosome,Basal body",9,-2
"Centrosome,Basal body,Acrosome,Mid piece",1,-2
"Centrosome,Basal body,Acrosome,Mid piece,Principal piece,End piece",1,-2
"Centrosome,Basal body,Cytosol",10,-2
"Centrosome,Basal body,Cytosol,Connecting piece,Mid piece,Principal piece,End piece",1,-2
"Centrosome,Basal body,Cytosol,Flagellar centriole",1,-2
"Centrosome,Basal body,Cytosol,Mid piece,Principal piece,End piece",1,-2
"Centrosome,Cytosol",29,-2
"Centrosome,Cytosol,Connecting piece,Mid piece",1,-2
"Centrosome,Cytosol,End piece",1,-2
"Centrosome,Cytosol,Flagellar centriole,Mid piece,Annulus",1,-2
"Centrosome,Cytosol,Mid piece,End piece",1,-2
"Centrosome,Cytosol,Mid piece,Principal piece",1,-2
"Centrosome,Cytosol,Perinuclear theca,Calyx",1,-2
"Centrosome,Mid piece",1,-2
"Centrosome,Mitochondria",1,-2
"Centrosome,Mitochondria,Cytosol",1,-2
"Connecting piece,Flagellar centriole",1,-2
"Connecting piece,Flagellar centriole,Annulus",1,-2
"Connecting piece,Flagellar centriole,Mid piece",1,-2
"Connecting piece,Flagellar centriole,Mid piece,Principal piece",1,-2
"Connecting piece,Mid piece",1,-2
"Connecting piece,Mid piece,Principal piece",2,-2
"Connecting piece,Mid piece,Principal piece,End piece",1,-2
Cytokinetic bridge,2,-2
"Cytokinetic bridge,Centriolar satellite,Cytosol",1,-2
"Cytokinetic bridge,Cytosol",3,-2
"Cytokinetic bridge,Midbody,Cytosol",1,-2
"Cytokinetic bridge,Mitochondria",2,-2
"Cytokinetic bridge,Mitotic spindle,Cytosol",2,-2
"Cytokinetic bridge,Mitotic spindle,Cytosol,Flagellar centriole,Mid piece,Principal piece,End piece,Annulus",1,-2
"Cytokinetic bridge,Mitotic spindle,Primary cilium,Centrosome,Basal body,Cytosol",1,-2
"Cytokinetic bridge,Mitotic spindle,Primary cilium,Cytosol",1,-2
Cytoplasmic bodies,15,-2
Cytosol,900,-2
"Cytosol,Acrosome",1,-2
"Cytosol,Acrosome,Equatorial segment",4,-2
"Cytosol,Acrosome,Mid piece",1,-2
"Cytosol,Acrosome,Perinuclear theca,Flagellar centriole,Principal piece,Annulus",1,-2
"Cytosol,Acrosome,Principal piece",1,-2
"Cytosol,Annulus",1,-2
"Cytosol,Connecting piece,Mid piece",3,-2
"Cytosol,Connecting piece,Mid piece,Principal piece",1,-2
"Cytosol,Connecting piece,Mid piece,Principal piece,End piece",1,-2
"Cytosol,Cytoplasmic bodies",13,-2
"Cytosol,End piece",1,-2
"Cytosol,Equatorial segment",1,-2
"Cytosol,Equatorial segment,Connecting piece",1,-2
"Cytosol,Equatorial segment,Mid piece,Principal piece",1,-2
"Cytosol,Equatorial segment,Mid piece,Principal piece,End piece",4,-2
"Cytosol,Equatorial segment,Principal piece,Annulus",1,-2
"Cytosol,Flagellar centriole,End piece",1,-2
"Cytosol,Mid piece",2,-2
"Cytosol,Mid piece,Principal piece",6,-2
"Cytosol,Mid piece,Principal piece,End piece",4,-2
"Cytosol,Mid piece,Principal piece,End piece,Annulus",2,-2
"Cytosol,Perinuclear theca,Calyx,Flagellar centriole,Mid piece,Principal piece",3,-2
"Cytosol,Perinuclear theca,Flagellar centriole,Mid piece",1,-2
"Cytosol,Principal piece",1,-2
"Cytosol,Rods & Rings",3,-2
End piece,1,-2
Endoplasmic reticulum,231,-1
"Endoplasmic reticulum,Acrosome",1,-1
"Endoplasmic reticulum,Aggresome",1,-1
"Endoplasmic reticulum,Cell Junctions",1,-1
"Endoplasmic reticulum,Centriolar satellite",1,-1
"Endoplasmic reticulum,Centriolar satellite,Cytosol",1,-1
"Endoplasmic reticulum,Centrosome",1,-1
"Endoplasmic reticulum,Centrosome,Mitochondria,Cytosol",1,-1
"Endoplasmic reticulum,Cytosol",59,-1
"Endoplasmic reticulum,Cytosol,Mid piece,Principal piece,End piece",1,-1
"Endoplasmic reticulum,Equatorial segment,Mid piece",1,-1
"Endoplasmic reticulum,Golgi apparatus",15,-1
"Endoplasmic reticulum,Golgi apparatus,Acrosome,Principal piece",1,-1
"Endoplasmic reticulum,Golgi apparatus,Centriolar satellite,Basal body",1,-1
"Endoplasmic reticulum,Golgi apparatus,Cytosol",7,-1
"Endoplasmic reticulum,Golgi apparatus,Plasma membrane",3,-1
"Endoplasmic reticulum,Golgi apparatus,Plasma membrane,Basal body",1,-1
"Endoplasmic reticulum,Golgi apparatus,Vesicles",4,-1
"Endoplasmic reticulum,Intermediate filaments",1,-1
"Endoplasmic reticulum,Lipid droplets",4,-1
